CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Orgao_Administracao;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta;Nao_Aplicavel
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Conselho de Administração - Efetivos;0;6;1;1;0;0;0;N
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Conselho Fiscal - Efetivos;0;5;0;0;0;0;0;N
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Conselho Fiscal - Suplentes;0;4;0;0;0;0;0;N
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Diretoria;0;27;0;4;0;0;0;N
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Conselho de Administração - Efetivos;0;6;0;0;0;0;1;N
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Conselho Fiscal - Efetivos;0;4;0;0;0;0;1;N
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Conselho Fiscal - Suplentes;0;3;0;0;0;0;0;N
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Diretoria;0;7;0;2;0;0;0;N
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Conselho de Administração - Efetivos;0;9;0;0;0;0;0;N
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Conselho Fiscal - Efetivos;0;3;1;0;0;0;0;N
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Conselho Fiscal - Suplentes;0;0;0;0;0;4;0;N
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Diretoria;0;10;0;2;0;0;0;N
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Conselho de Administração - Efetivos;0;6;1;2;0;0;0;N
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Conselho Fiscal - Efetivos;1;4;0;0;0;0;0;N
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Conselho Fiscal - Suplentes;0;5;0;0;0;0;0;N
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Diretoria;0;4;0;0;0;0;0;N
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Conselho de Administração - Efetivos;0;9;0;0;0;0;0;N
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Diretoria;0;12;0;0;0;0;0;N
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Conselho de Administração - Efetivos;0;0;0;0;0;0;0;S
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Diretoria;0;0;0;0;0;0;0;S
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Conselho de Administração - Efetivos;0;3;0;0;0;0;0;N
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Conselho de Administração - Suplentes;0;2;0;0;0;0;1;N
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Diretoria;0;2;0;0;0;0;0;N
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Conselho de Administração - Efetivos;1;7;0;0;0;0;0;N
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Diretoria;0;3;0;0;0;0;0;N
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Conselho de Administração - Efetivos;0;0;0;0;0;0;3;N
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Diretoria;0;0;0;0;0;0;2;N
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Conselho de Administração - Efetivos;0;0;0;0;0;0;0;S
