CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Auditor;Auditor;CPF_Auditor;CNPJ_Auditor;Codigo_CVM_Auditor;Tipo_Origem_Auditor;Data_Inicio_Contratacao;Data_Fim_Contratacao;Data_Inicio_Prestacao_Servico;Servico_Contratado;Remuneracao_Auditor;Justificativa_Substituicao;Razao_Apresentada
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;127220;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567001940;003859;Nacional;2019-02-27;;2019-04-01;Prestação de serviços (i) de auditoria contábil sobre as demonstrações contábeis do Conglomerado Banco do Brasil, elaboradas de acordo comas práticas contábeis adotadas no Brasil e com as normas internacionais de contabilidade (IFRS - International Financial Reporting Standards)emitidas pelo International Accounting Standards Board (IASB) e (ii) de outros serviços correlatos.;No ano de 2023, foram pagos R$ 20.895.853,32 referentes ao contrato 201985580011, de prestação de serviços de auditoria contábil sobreas demonstrações contábeis do Conglomerado Banco do Brasil e serviços correlatos.;Em função da rotatividade obrigatória de auditores independentes, conforme prevista no art. 31 da Resolução CVM 23/2021, houve o términodo contrato com a Deloitte e a realização de processo licitatório, cuja empresa vencedora foi a KPMG, conforme Comunicado a Mercado de20/03/2024.;Não aplicável.
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;127221;KPMG AUDITORES INDEPENDENTES LTDA;;57755217001281;004189;Nacional;2024-03-11;;2024-04-01;Prestação de serviços de auditoria externa sobre as demonstrações contábeis do Conglomerado Banco do Brasil, elaboradas de acordo com as práticas contábeis adotadas no Brasil e com as normas internacionais de contabilidade (IFRS - Internacional Financial Reporting Standards) e de outros serviços correlatos;Não aplicável.;Não aplicável.;Não aplicável.
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;127235;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2015-03-10;;2015-03-10;Contratação mais recente: 12/04/2023.Objeto: prestação de serviços especializados de auditoria independente das Demonstrações Financeiras, individuais e consolidadas, das empresas do Conglomerado BRB e do Instituto BRB, dos exercícios de 2023 e 2024.A prestação de serviços pela empresa ocorre desde 2015, tendo a empresa vencido licitações ao longo desse período.;No último exercício social (2023) o valor pago pelo BRB neste contrato pelos serviços de auditoria da empresa foi de R$ 1.732.124,98;Não aplicável, pois não houve substituição de auditor.;Não aplicável, pois não houve substituição de auditor.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;127042;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2019-04-02;;2019-01-02;Os auditores independentes prestaram e/ou foram contratados para prestar os seguintes serviços:Durante o exercício social encerrado em 31 de dezembro de 2023: (a) serviços regulares de auditoria independente, sobre as demonstrações financeiras individuais, consolidadas e regulatórias, preparadas de acordo com as práticas contábeis adotadas no Brasil, elaboradas pelo Comitê de Pronunciamentos Contábeis (CPC) e pela CVM e com as normas internacionais, elaboradas pela International Accounting Standards Board (IASB) e pela Securities Exchange Comission (SEC), referente ao exercício social encerrado em 31 de dezembro de 2023 e(b) a revisão das informações financeiras trimestrais, referente aos trimestres de 31 de março, 30 de junho e 30 de setembro de 2023, preparada de acordo com o CPC 21 (R1) - Demonstração Intermediária e a IAS 34 - Interim Financial Reporting, emitida pelo International Accounting Standard Board - IASB (ii) exame dos controles internos segundo normas do IBRACON e da Lei Norte-Americana Sarbanes-Oxley - SOx, com a emissão de relatórios requeridos e (iii) prestação de serviços no âmbito da oferta pública de distribuição da 4ª emissão de debêntures simples, não conversíveis em ações, da espécie quirografária, em duas séries, para distribuição pública, em rito automático de distribuição, de emissão da Eletrobras;No exercício social encerrado em 31 de dezembro de 2023, os auditores independentes da Companhia, em contrapartida aos serviços prestados, receberam honorários que totalizaram o valor de R$26.667.874,13 (considerando os serviços prestados para a Companhia e para suas controladas, consolidadas nas demonstrações financeiras da Companhia).;Não aplicável.;Não aplicável.
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;126796;BDO RCS Auditores Independentes - Sociedade Simples Limitada;;54276936000179;010324;Nacional;2024-04-04;;2024-01-01;Auditoria das Demonstrações Financeiras Individuais e Consolidadas da Companhia Energética de Brasília - CEB relativas aos exercícios sociais que findarão em 2024, 2025, 2026, 2027 e 2028, correlata revisão das Informações Trimestrais - ITR's dos referidos exercícios e revisão dos procedimentos fiscais e tributários;R$ 234.000,00;Realização de novo processo licitatório em função do término de vigência do contrato anterior;Não houve discordância do auditor
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;126987;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567001860;003859;Nacional;2020-10-16;;2020-10-16;Os auditores independentes prestaram serviços relacionados: (i) à auditoria independente das demonstrações financeiras individuais e consolidadas da Caramuru Alimentos S.A. referentes ao exercício social encerrado em 31 de dezembro de 2023, revisão das informações financeiras intermediárias referentes aos trimestres findos em 31 de março e 30 de junho, bem como em 30 de setembro de 2023, preparadas de acordo com as práticas contábeis adotadas no Brasil (BR GAAP) e com os International Financial Reporting Standards - IFRS e (ii) auditoria das demonstrações financeiras individuais da Intergrain Ltd. (empresa controlada);(i) Auditoria independente das demonstrações individuais e consolidadas de 2023: R$ 1.370.000;Não aplicável;Não aplicável
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;124516;TATICCA AUDITORES INDEPENDENTES S.S. - EPP;;20840718000101;012220;Nacional;2022-01-01;;2022-01-01;Auditoria das Demonstrações Financeiras e Revisão das Informações Trimestrais - ITRs. Parecer do Auditor Independente.;R$ 26.400,00;Não houve substituição.;Não houve discordância.
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;126613;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2023-08-16;;2023-01-01;(i) auditoria e emissão de relatório sobre as demonstrações financeiras individuais e consolidadas para o exercício a se findar em 31 de dezembro de 2023, elaboradas de acordo com as práticas contábeis adotadas no Brasil e com as normas internacionais de relatório financeiro (IFRS) emitidas pelo International Accounting Standards Board (IASB), com free translation (ii) realização de revisão e emissão de relatório sobre as Informações Trimestrais (ITRs) individuais e consolidadas requeridas pela Comissão de Valores Mobiliários para os trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2023 para a AES Brasil Energia S.A. e AES Brasil Operações S.A. e (iii) auditoria e emissão de relatório sobre a aplicação de procedimentos previamente acordados sobre o Relatório de Controle Patrimonial - RCP, elaborado segundo a norma da resolução Aneel 367/2009, devendo atender ao programa de trabalho definido no anexo 1 do Manual de Orientação dos Trabalhos de Auditoria de Relatório de Controle Patrimonial - RCP e (iv) serviços de auditoria especificados nas instruções de trabalho elaboradas pela EY Brasil, sobre os relatórios específicos ("Reporting Package") preparados de acordo com os princípios contábeis geralmente aceitos nos Estados Unidos da América relativas ao exercício de 31 de dezembro de 2023.;O montante total da remuneração contratada aos auditores independentes e aos serviços descritos no item (iv)no exercício social encerrado em 31 de dezembro de 2023 foi de R$ 3.200.961,27.;Não aplicável.;Não aplicável.
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;126874;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567000111;003859;Nacional;2024-05-29;;2024-05-29;Os serviços contratados compreendem: (i) auditoriaindependente das demonstrações financeiras daCompanhia que compreendem os balanços patrimoniaisreferentes aos exercícios sociais findos em 31 dedezembro de 2024 e ao período de três meses findo em31 de março de 2025, bem como as demonstrações doresultado, do resultado abrangente, das mutações dopatrimônio líquido e dos fluxos de caixa para osexercícios findos em 31 de dezembro de 2024 e para operíodo de três meses findo em 31 de março de 2025,elaboradas de acordo com as práticas contábeisadotadas no Brasil, emitidas pelo Comitê dePronunciamentos Contábeis - CPC e aprovadas pelaComissão de Valores Mobiliários - CVM ("BR GAAP") eas normas internacionais de relatório financeiro(Internacional Financial Reporting Standards - "IFRS"),emitidas pelo "Internacional Accounting StandardsBoard - "IASB" (ii) emissão de cartas "conforto"relacionadas à oferta pública de ações das Companhia.;Pelos serviços prestados durante o exercício social de 2024, a remuneração total do auditorindependente será de: (i) R$ 785.880,00 referente à auditoria independente dasdemonstrações financeiras da Companhia referentes ao exercício social encerrado em 31de dezembro de 2024, e ao trimestre encerrado em 31 de março de 2025, preparadas deacordo com as BR GAAP e as IFRS.;Não aplicável.;Não aplicável.
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;124425;RSM ACAL Auditores Independentes S/S;;07377136000164;011444;Nacional;2021-01-01;;2021-01-01;Serviços de Auditoria;23.600,00;A contratação ocorreu em atendimento ao artigo 31 da ICVM 308, em função da rotatividade de auditores independentes a cada período de 5 anos.;N/A
