CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;323111;Capital Emitido;2023-04-27;120000000000.00;;5730834040;0;0
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;323112;Capital Subscrito;2023-04-27;120000000000.00;;5730834040;0;0
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;323113;Capital Integralizado;2023-04-27;120000000000.00;;5730834040;0;0
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;323148;Capital Emitido;2024-08-08;1594020825.80;;284785449;113056415;397841864
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;323149;Capital Subscrito;2024-08-08;1594020825.80;;284785449;113056415;397841864
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;323150;Capital Integralizado;2024-08-08;1594020825.80;;284785449;113056415;397841864
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;323151;Capital Autorizado;2020-08-03;0.00;;555624000;164376000;720000000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;322679;Capital Emitido;2023-01-05;70099825620.79;Não Aplicável;2027011498;280088314;2307099812
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;322680;Capital Subscrito;2023-01-05;70099825620.79;Não aplicável.;2027011498;280088314;2307099812
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;322681;Capital Integralizado;2023-01-05;70099825620.79;Não aplicável.;2027011498;280088314;2307099812
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;322682;Capital Autorizado;2022-11-04;29900174379.21;;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;322002;Capital Integralizado;2021-10-14;566025355.62;;35920890;36161025;72081915
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;322536;Capital Emitido;2024-04-30;1832533679.29;Não aplicável;24444000;0;24444000
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;322537;Capital Subscrito;2024-04-30;832533679.29;Não aplicável;24444000;0;24444000
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;322538;Capital Integralizado;2024-04-30;1832533679.29;Não aplicável;24444000;0;24444000
