CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;1166340;14908;1246;2842613858;49.602000;0;0.000000;2842613858;49.602000;2024-04-26
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;3509;28;4;43985425;15.445000;32764415;28.981000;76749840;19.292000;2024-05-10
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;144406;10701;677;1977170723;97.541000;268875696;95.997000;2246046419;97.354000;2024-04-26
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;10545;94;18;2444275;6.805000;11864425;32.810000;14308700;19.851000;2024-04-25
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;6;4;0;2444400;10.000000;0;0.000000;2444400;10.000000;2024-04-30
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;0;1;0;0;0.000000;0;0.000000;0;0.000000;2014-08-29
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;0;1;0;2031549574;100.000000;0;0.000000;2031549574;100.000000;2023-04-27
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2483;29;151;171598756;48.840000;0;0.000000;171598756;48.840000;2024-04-26
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2024-02-27
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;6482;1508;27;1002121;1.474000;2176766;11.825000;3178887;3.680000;2024-04-23
00.357.038/0001-16;2024-12-31;5;142109;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-05-09
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;5823;26;0;6378395;26.794000;0;0.000000;6378395;26.794000;2024-04-29
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;0;0;1;29188116;100.000000;0;0.000000;29188116;100.000000;2023-03-16
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-12-21
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;30;17;0;108594447;27.000000;187196746;48.723000;295791193;37.613000;2024-04-29
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;0;3;1;41758317;19.378000;0;0.000000;41758317;19.378000;2019-09-09
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;151586;1473;388;100096178;49.993000;0;0.000000;100096178;49.993000;2024-09-05
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;27749;657;1230;327430406;36.905000;1304701203;93.047000;1632131609;71.290000;2024-04-30
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-19
00.897.864/0001-58;2024-12-31;1;138445;SANTA CATARINA PART INVEST SA;0;2;0;200000;100.000000;0;0.000000;200000;100.000000;1995-11-13
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;1;5;1;23;0.000000;3;15.789000;26;0.000000;2021-08-09
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;0;7;1;0;0.000000;0;0.000000;0;0.000000;2024-04-11
00.974.211/0001-25;2024-12-31;1;137926;LINHA AMARELA S.A. - LAMSA;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-30
00.979.969/0001-56;2024-12-31;1;136648;CAIXA ADM DIV PUB ESTADUAL SA;3;1;0;2402611661;100.000000;0;0.000000;2402611661;100.000000;2024-04-02
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;119328;1117;220;901216297;33.777000;0;0.000000;901216297;33.777000;2024-04-30
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;65483;285;597;195036523;16.068000;0;0.000000;195036523;16.068000;2024-04-19
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;585;31;19;287178;2.441000;0;0.000000;287178;2.441000;2024-04-29
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;2;0;1;0;0.000000;0;0.000000;0;0.000000;2024-04-26
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2020-04-30
01.319.044/0001-41;2024-12-31;1;137920;WTC AMAZONAS SUITE HOTEL S.A.;2;0;0;100;100.000000;0;0.000000;100;100.000000;2021-05-04
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;540;13;1;3187420;1.703000;1050877;0.697000;4238297;1.254000;2024-04-26
01.543.032/0001-04;2024-12-31;5;141924;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;20;1;1;102022;0.036000;0;0.000000;102022;0.036000;2024-04-26
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;30628;255;51;115878978;99.951000;0;0.000000;115878978;99.951000;2024-04-26
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;1264;124;4;15919;2.010000;26651;1.696000;42570;1.801000;2024-04-30
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;25865;103;83;21788816;97.195000;0;0.000000;21788816;97.195000;2024-05-20
01.616.929/0001-02;2024-12-31;5;141681;SANEAMENTO DE GOIAS SA;1;60;2;0;0.000000;0;0.000000;0;0.000000;2022-01-25
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2023-05-08
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;64351;1527;1278;814523002;48.412000;0;0.000000;814523002;48.412000;2024-03-28
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;0;1;1;0;0.000000;0;0.000000;0;0.000000;2024-04-30
