CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Classe;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
00.000.000/0001-91;2024-12-31;8;142110;Liderança;3407;5884;9;17;22276
00.000.000/0001-91;2024-12-31;8;142110;Não-liderança;6710;7823;39;35;40020
00.000.208/0001-00;2024-12-31;5;142124;Liderança;166;258;2;1;306
00.000.208/0001-00;2024-12-31;5;142124;Não-liderança;560;815;0;6;1262
00.001.180/0001-26;2024-12-31;9;141946;Liderança;161;535;0;0;0
00.001.180/0001-26;2024-12-31;9;141946;Não-liderança;1314;6318;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;Liderança;10;20;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;Não-liderança;20;32;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;Liderança;54;162;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;Não-liderança;435;1780;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;Liderança;30;75;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;Não-liderança;181;381;0;0;0
00.242.184/0001-04;2024-12-31;3;141796;Liderança;57;490;0;0;0
00.242.184/0001-04;2024-12-31;3;141796;Não-liderança;471;4883;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;Liderança;0;0;0;0;1
00.272.185/0001-93;2024-12-31;1;138318;Não-liderança;0;0;0;0;1
00.336.701/0001-04;2024-12-31;1;138306;Liderança;3;44;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;Não-liderança;133;213;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;Liderança;3;1;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;Não-liderança;16;3;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;Liderança;18;39;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;Não-liderança;41;74;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;Liderança;26;32;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;Não-liderança;278;169;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;Liderança;18;37;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;Não-liderança;53;125;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;Liderança;1;4;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;Não-liderança;14;47;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;Liderança;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;Não-liderança;0;0;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;Liderança;4012;3181;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;Não-liderança;13783;12985;0;0;0
00.864.214/0001-06;2024-12-31;7;141912;Liderança;266;949;0;0;0
00.864.214/0001-06;2024-12-31;7;141912;Não-liderança;2967;12466;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;Liderança;36;184;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;Não-liderança;577;4242;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;Liderança;3;3;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;Não-liderança;10;15;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;Liderança;304;464;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;Não-liderança;2184;3416;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;Liderança;406;789;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;Não-liderança;2797;11701;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;Liderança;1;0;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;Não-liderança;2;0;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;Liderança;99;300;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;Não-liderança;881;4103;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;Liderança;111;374;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;Não-liderança;856;6973;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;Liderança;90;289;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;Não-liderança;989;5547;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;Liderança;51;61;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;Não-liderança;105;175;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;Liderança;0;0;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;Não-liderança;0;0;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;Liderança;119;239;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;Não-liderança;1387;1118;0;0;0
01.637.895/0001-32;2024-12-31;4;142116;Liderança;211;725;0;0;0
01.637.895/0001-32;2024-12-31;4;142116;Não-liderança;1201;6317;0;0;0
01.838.723/0001-27;2024-12-31;4;141516;Liderança;829;2199;0;0;0
01.838.723/0001-27;2024-12-31;4;141516;Não-liderança;40530;53114;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;Liderança;0;0;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;Não-liderança;0;0;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;Liderança;199;165;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;Não-liderança;3067;1314;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;Liderança;0;6;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;Não-liderança;11;179;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;Liderança;1;6;0;0;0
