CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Centro-Oeste;2250;3603;16;11;11882
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Exterior;3;6;0;0;9
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Nordeste;1171;2121;3;9;10640
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Norte;330;455;2;6;3037
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Sudeste;4604;5222;16;18;25966
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Sul;1759;2300;11;8;10762
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Centro-Oeste;680;977;2;6;1501
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Exterior;0;0;0;0;0
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Nordeste;38;89;0;1;48
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Norte;0;1;0;0;1
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Sudeste;8;6;0;0;18
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Sul;0;0;0;0;0
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Centro-Oeste;187;800;0;0;0
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Exterior;0;0;0;0;0
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Nordeste;372;2131;0;0;0
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Norte;112;888;0;0;0
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Sudeste;625;1985;0;0;0
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Sul;179;1049;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Centro-Oeste;30;52;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Exterior;0;0;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Nordeste;0;0;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Norte;0;0;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Sudeste;0;0;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Sul;0;0;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Centro-Oeste;465;1799;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Exterior;0;0;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Nordeste;0;0;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Norte;4;10;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Sudeste;5;11;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Sul;15;122;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Centro-Oeste;0;0;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Exterior;0;0;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Nordeste;36;89;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Norte;0;0;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Sudeste;174;366;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Sul;1;1;0;0;0
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Centro-Oeste;41;706;0;0;0
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Exterior;0;0;0;0;0
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Nordeste;14;315;0;0;0
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Norte;30;932;0;0;0
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Sudeste;419;3113;0;0;0
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Sul;24;307;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Centro-Oeste;0;0;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Exterior;0;0;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Nordeste;0;0;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Norte;0;0;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Sudeste;0;0;0;0;2
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Sul;0;0;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Centro-Oeste;129;244;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Exterior;0;0;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Nordeste;5;2;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Norte;1;3;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Sudeste;1;3;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Sul;0;5;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Exterior;0;0;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Nordeste;0;0;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Norte;0;0;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sudeste;19;4;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sul;0;0;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Centro-Oeste;0;1;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Exterior;0;0;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Nordeste;1;1;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Norte;0;0;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Sudeste;58;111;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Sul;0;0;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Centro-Oeste;3;5;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Exterior;0;0;0;0;0
