CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Centro-Oeste;484;11814;818;4620;25;0;1
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Exterior;1;17;0;0;0;0;0
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Nordeste;109;7020;804;5970;41;0;0
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Norte;37;1600;207;1966;20;0;0
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Sudeste;1556;27782;1229;5210;47;0;2
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Sul;312;13177;225;1111;14;0;1
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Centro-Oeste;82;1753;174;1087;9;0;61
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Exterior;0;0;0;0;0;0;0
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Nordeste;4;72;14;84;0;0;2
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Norte;0;1;0;1;0;0;0
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Sudeste;1;18;1;8;0;0;4
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Sul;0;0;0;0;0;0;0
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Centro-Oeste;16;526;47;348;5;0;45
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Exterior;0;0;0;0;0;0;0
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Nordeste;22;1027;202;1217;8;0;27
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Norte;7;295;55;612;9;0;22
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Sudeste;35;1805;123;425;5;0;217
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Sul;8;1091;35;67;0;0;27
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Centro-Oeste;1;41;5;35;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Exterior;0;0;0;0;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Nordeste;0;0;0;0;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Norte;0;0;0;0;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Sudeste;0;0;0;0;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Sul;0;0;0;0;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Centro-Oeste;41;988;205;1003;4;0;23
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Exterior;0;0;0;0;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Nordeste;0;0;0;0;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Norte;0;3;2;9;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Sudeste;0;8;1;6;0;0;1
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Sul;1;90;14;32;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Centro-Oeste;0;0;0;0;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Exterior;0;0;0;0;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Nordeste;3;58;12;50;0;0;2
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Norte;0;0;0;0;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Sudeste;8;423;23;83;1;0;2
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Sul;0;1;0;1;0;0;0
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Centro-Oeste;10;172;72;392;5;0;96
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Exterior;0;0;0;0;0;0;0
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Nordeste;1;50;51;188;2;0;37
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Norte;6;130;98;709;8;0;11
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Sudeste;42;1011;420;1445;6;0;608
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Sul;1;154;25;96;1;0;54
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Centro-Oeste;0;0;0;0;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Exterior;0;0;0;0;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Nordeste;0;0;0;0;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Norte;0;0;0;0;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Sudeste;0;0;0;0;0;0;2
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Sul;0;0;0;0;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Centro-Oeste;5;188;16;123;0;0;41
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Exterior;0;0;0;0;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Nordeste;0;6;0;1;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Norte;0;1;0;3;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Sudeste;1;1;0;1;0;0;1
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Sul;0;4;0;1;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0;0;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Exterior;0;0;0;0;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Nordeste;0;0;0;0;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Norte;0;0;0;0;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sudeste;0;23;0;0;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sul;0;0;0;0;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Centro-Oeste;0;1;0;0;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Exterior;0;0;0;0;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Nordeste;0;1;0;1;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Norte;0;0;0;0;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Sudeste;1;136;5;22;0;0;5
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Sul;0;0;0;0;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Centro-Oeste;0;1;2;4;0;0;1
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Exterior;0;0;0;0;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Nordeste;0;24;12;29;0;0;4
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Norte;0;2;1;4;0;0;1
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Sudeste;2;227;47;97;0;0;31
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Sul;0;9;0;5;0;0;2
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Centro-Oeste;1;3;0;0;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Exterior;0;3;0;0;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Nordeste;2;7;8;23;1;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Norte;0;2;0;1;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Sudeste;2;38;5;14;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Sul;3;115;0;5;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Centro-Oeste;0;0;0;0;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Exterior;0;0;0;0;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Nordeste;0;0;0;0;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Norte;1;21;3;20;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Sudeste;0;16;2;3;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Sul;0;0;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Exterior;0;0;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Nordeste;0;0;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Norte;0;0;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Sudeste;0;0;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Sul;0;0;0;0;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Centro-Oeste;16;297;177;1312;1;0;2
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Exterior;0;0;0;0;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Nordeste;65;715;421;4718;8;0;13
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Norte;18;169;97;1498;1;0;5
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sudeste;413;6310;2632;12687;73;0;128
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sul;9;1472;135;563;0;0;6
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Centro-Oeste;50;1575;467;2360;12;0;39
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Exterior;0;0;0;0;0;0;0
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Nordeste;53;1395;280;2292;11;0;19
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Norte;70;839;384;2466;13;0;76
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Sudeste;28;2993;319;809;0;0;17
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Sul;0;71;2;8;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Centro-Oeste;3;70;19;96;0;0;2
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Exterior;0;0;0;0;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Nordeste;4;60;97;235;0;0;1
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Norte;0;0;0;0;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Sudeste;54;1600;514;2269;8;0;7
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Sul;0;0;0;0;0;0;0
