CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Ate30Anos;Quantidade_30a50Anos;Quantidade_Acima50Anos
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Centro-Oeste;1244;13440;3078
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Exterior;0;9;9
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Nordeste;588;10746;2610
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Norte;338;2792;700
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Sudeste;921;24839;10066
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Sul;405;10999;3436
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Centro-Oeste;269;2390;507
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Exterior;0;0;0
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Nordeste;9;145;22
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Norte;0;2;0
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Sudeste;4;20;8
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Sul;0;0;0
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Centro-Oeste;36;625;326
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Exterior;0;0;0
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Nordeste;79;1708;716
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Norte;28;577;395
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Sudeste;78;1630;902
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Sul;51;864;313
