CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Razao_Social;CNPJ;Tipo_Sociedade;Descricao_Atividades;Pais_Sede;UF_Sede;Municipio_Sede;Participacao_Emissor;Possui_Registro_CVM;Codigo_CVM;Razao_Aquisicao_Manutencao;Data_Valor_Mercado;Data_Valor_Contabil;Valor_Mercado;Valor_Contabil
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;814813;Banco Patagonia S.A.;08884213000135;;;;;;80.39000000;;;;;;;
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;814814;Banco Votorantim S.A.;59588111000103;;;;;;49.99000000;;;;;;;
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;814815;BB AKTIENGESELLSCHAFT (BB AG);00000000000000;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;814816;BB Cayman Islands Holding;05528375000142;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;814817;BB Elo Cartões Participações S.A.;05105802000180;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;814818;BB Gestão de Recursos - Distribuidora de Títulos e Val. Mobiliários S.A.;30822936000169;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;814819;BB Leasing S.A. - Arrendamento Mercantil;31546476000156;;;;;;100.00000000;;;;;;;
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;814820;BB Seguridade Participações S.A.;17344597000194;;;;;;66.25000000;;;;;;;
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;814821;BB-Banco de Investimento S.A.;24933830000130;;;;;;100.00000000;;;;;;;
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;815167;BRB - Crédito, Financiamento e Investimento S.A.;33136888000143;;;;;;100.00000000;;;;;;;
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;815168;BRB DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;33850686000169;;;;;;99.00000000;;;;;;;
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;815169;Cartão BRB S.A.;01984199000100;;;;;;100.00000000;;;;;;;
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;815170;BRB SERVIÇOS S.A.;12875569000180;;;;;;100.00000000;;;;;;;
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;815171;BRB Administradora e Corretora de Seguros S.A.;42597575000183;;;;;;100.00000000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813430;AES BRASIL (ANTIGA AES TIETÊ S.A.);37663076000107;;;;;;0.52600000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813431;Auren Energia S.A. (antiga CESP - Companhia Energética de São Paulo S.A.);28594234000123;;;;;;0.05200000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813432;CEB LAJEADO S.A.;03677638000150;;;;;;40.06900000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813433;Centrais Elétricas de Santa Catarina S.A.;83878892000155;;;;;;10.75100000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813434;Centrais Elétricas do Norte do Brasil S/A - Eletronorte;00357038000116;;;;;;100.00000000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813435;Enel Green Power Cachoeira Dourada S.A.;01672223000168;;;;;;0.12700000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813436;Companhia Energética de Roraima;05938444000196;;;;;;0.00200000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813437;Cia. Energética De Brasília;00070698000111;;;;;;2.09500000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813438;COMPANHA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL DO BRASIL (CGT ELETROSUL);02016507000169;;;;;;100.00000000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813439;Companhia Energética do Ceará;07047251000170;;;;;;7.06300000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813440;Companhia Estadual de Distribuição de Energia Elétrica - CEEE-D;08467115000100;;;;;;4.62200000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813441;Companhia Hidro Elétrica do São Francisco;33541368000116;;;;;;100.00000000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813442;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;02998611000104;;;;;;35.74000000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813443;Eletrobras Participações S/A;01104937000170;;;;;;83.71000000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813444;ELETRONUCLEAR SA;42540211000167;;;;;;67.94700000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813445;EMAE - Empresa Metropolitana de Águas e Energia S.A;02302101000142;;;;;;40.44000000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813446;Energisa S.A.;00864214000106;;;;;;1.15500000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813447;CENTRAIS ELÉTRICAS DO PARÁ S.A. - CELPA.;04895728000180;;;;;;0.98900000;;;;;;;
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;813448;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A. - Antiga CEMAR;06272793000184;;;;;;33.40500000;;;;;;;
