CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Acionista;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes;Percentual_Acoes
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520315;Preferencial Classe B;2129640;0.761000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520323;Preferencial Classe B;18262671;6.524000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520327;Preferencial Classe B;18691102;6.677000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520331;Preferencial Classe B;1251716;0.447000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520335;Preferencial Classe B;204959;0.073000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520347;Preferencial Classe B;21198342;7.572000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520351;Preferencial Classe B;7908453;2.825000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520355;Preferencial Classe B;59300;0.021000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520359;Preferencial Classe B;29772076;10.635000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520363;Preferencial Classe B;493;0.000000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520363;Preferencial Classe C;1;100.000000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520367;Preferencial Classe A;2000;1.361000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520367;Preferencial Classe B;360000;0.129000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520371;Preferencial Classe A;55585;37.834000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520372;Preferencial Classe A;4361;2.968000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520372;Preferencial Classe B;6837800;2.443000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520373;Preferencial Classe A;84974;57.837000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520373;Preferencial Classe B;173264841;61.893000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520374;Preferencial Classe B;279941393;100.000000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520374;Preferencial Classe C;1;100.000000
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;7520374;Preferencial Classe A;146920;100.000000
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7505982;Preferencial Classe B;24296600;82.094000
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7505987;Preferencial Classe B;5299415;17.906000
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7505987;Preferencial Classe A;6565010;100.000000
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7505988;Preferencial Classe B;29596015;100.000000
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7505988;Preferencial Classe A;6565010;100.000000
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;7415179;Ordinária Classe A;6331751;24.088000
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;7415179;Preferencial Classe A;12651016;24.064000
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;7415181;Ordinária Classe A;901;100.000000
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;7415182;Ordinária Classe A;901;100.000000
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;7415183;Ordinária Classe A;19954707;75.912000
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;7415183;Preferencial Classe A;39921740;75.936000
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;7415189;Ordinária Classe A;26286458;100.000000
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;7415189;Preferencial Classe A;52572756;100.000000
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;7429415;Ordinária Classe A;324100;100.000000
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;7429417;Ordinária Classe A;324100;100.000000
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;7457740;Ordinária Classe A;127089;100.000000
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;7457742;Ordinária Classe A;1084100975;100.000000
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;7457743;Ordinária Classe A;1084100975;100.000000
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;7457746;Ordinária Classe A;127089;100.000000
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;7423916;Ordinária Classe A;645753340;100.000000
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;7423938;Ordinária Classe A;645753340;100.000000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470539;Preferencial Classe R;51111965;20.000000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470539;Preferencial Classe A;980081;6.017000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470539;Preferencial Classe B;1031248;20.000000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470547;Preferencial Classe C;35947208;33.533000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470579;Preferencial Classe R;186558673;73.000000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470579;Preferencial Classe A;6684487;41.038000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470579;Preferencial Classe B;3764056;73.000000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470595;Preferencial Classe R;17889188;7.000000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470595;Preferencial Classe A;342946;2.105000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470595;Preferencial Classe B;360936;7.000000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470604;Preferencial Classe A;8281000;50.840000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470604;Preferencial Classe C;71252174;66.467000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470605;Preferencial Classe R;255559826;100.000000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470605;Preferencial Classe A;16288514;100.000000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470605;Preferencial Classe B;5156240;100.000000
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;7470605;Preferencial Classe C;107199382;100.000000
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;7476240;Preferencial Classe E;12;100.000000
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;7476254;Preferencial Classe E;12;100.000000
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7467340;Preferencial Classe B;29772076;10.635000
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7467348;Preferencial Classe B;18262671;6.524000
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7467352;Preferencial Classe B;2129640;0.761000
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;7467356;Preferencial Classe B;18691102;6.677000
