CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Total_Remuneracao;Orgao_Administracao;Numero_Membros;Total_Remuneracao_Orgao;Numero_Membros_Remunerados;Salario;Beneficios_Diretos_Indiretos;Participacoes_Comites;Outros_Valores_Fixos;Descricao_Outros_Remuneracoes_Fixas;Bonus;Participacao_Resultados;Participacao_Reunioes;Outros_Valores_Variaveis;Comissoes;Descricao_Outros_Remuneracoes_Variaveis;Pos_emprego;Cessacao_Cargo;Baseada_Acoes;Observacao
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2022-01-01;2022-12-31;44434242.05;Conselho de Administração;8.00;65230.18;1.25;65230.18;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2022-01-01;2022-12-31;44434242.05;Diretoria Estatutária;31.83;43997780.67;31.83;22877213.56;3533055.58;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;10012413.52;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;52177.45;7522920.56;PROBLEMA SISTÊMICO - a informação correta para o campo "nº de membros remunerados" é 38,92. O sistema não aceita a inclusão do número correto nos itens 8.2, 8.3 e 8.15. Para permitir a inclusão dos dados e finalizar a entrega deste Formulário, fizemos o ajuste manual e estamos incluindo esta observação.O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2022-01-01;2022-12-31;44434242.05;Conselho Fiscal;5.00;371231.20;5.00;371231.20;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2023-01-01;2023-12-31;49177706.38;Conselho de Administração;7.83;337887.10;4.33;337887.10;0.00;0.00;0.00;Não Aplicável;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual2024-CVM/SEP, de 07/03/2024.O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2023-01-01;2023-12-31;49177706.38;Diretoria Estatutária;30.75;48518607.45;30.75;23593795.26;4291854.28;0.00;0.00;Não aplicável.;0.00;0.00;0.00;8535804.47;0.00;Referem-se a parcelas da Remuneração Variável dos Administrados (RVA) pagas em espécie no ano-calendário (visão Regime de Caixa).;0.00;3502597.29;8594556.15;1) O número de membros remunerados é de 42,50. O sistema não permite a inclusão, pois não prevê a rotatividade em seus parâmetros.2) A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual2024-CVM/SEP, de 07/03/2024.O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2023-01-01;2023-12-31;49177706.38;Conselho Fiscal;4.00;321211.83;4.00;321211.83;0.00;0.00;0.00;Não aplicável;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;1) O número de membros remunerados é de 4,08. O sistema não permite a inclusão, pois não prevê a rotatividade em seus parâmetros.2) A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual2024-CVM/SEP, de 07/03/2024.O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2021-01-01;2021-12-31;43569329.46;Conselho de Administração;8.00;283645.38;4.25;283645.38;0.00;0.00;0.00;Não Aplicável.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual-2024-CVM/SEP, de 07/03/2024. O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2021-01-01;2021-12-31;43569329.46;Diretoria Estatutária;32.67;42918700.60;32.67;23411373.91;3627726.19;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;0.00;0.00;7892440.20;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam item 8.20, em conformidade com o item "b" do subtítulo 10.2.8 do Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.;0.00;2268491.41;5718668.89;PROBLEMA SISTÊMICO - a informação correta para o campo "nº de membros remunerados" é 42,25. O sistema não aceita a inclusão do número correto nos itens 8.2, 8.3 e 8.15. Para permitir a inclusão dos dados e finalizar a entrega deste Formulário, fizemos o ajuste manual e estamos incluindo esta observação.O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/Anual-2023-CVM/SEP, de 28/02/2023.
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2021-01-01;2021-12-31;43569329.46;Conselho Fiscal;5.00;366983.48;5.00;366983.48;0.00;0.00;0.00;Não Aplicável.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 8.20, em conformidade com o subtítulo 10.2.8.2 do Ofício-circular/Anual-2024-CVM/SEP, de 07/03/2024.O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2024-01-01;2024-12-31;76586205.36;Conselho de Administração;8.00;655140.48;8.00;655140.48;0.00;0.00;0.00;Não aplicável.;0.00;0.00;0.00;0.00;0.00;Não aplicável.;0.00;0.00;0.00;1) Trata-se de previsão para 2024.2) O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
