CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Bonus_Valor_Minimo;Bonus_Valor_Maximo;Bonus_Valor_Metas_Atingidas;Bonus_Valor_Efetivo;Participacao_Valor_Minimo;Participacao_Valor_Maximo;Participacao_Valor_Metas_Atingidas;Participacao_Valor_Efetivo
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2023-01-01;2023-12-31;Conselho Fiscal;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;30.75;30.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2022-01-01;2022-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;31.83;31.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2021-01-01;2021-12-31;Conselho de Administração;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2021-01-01;2021-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;32.67;32.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2024-01-01;2024-12-31;Conselho de Administração;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
