CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Nome_Responsavel;Cargo_Responsavel
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Tarciana Paula Gomes Medeiros;Diretor Presidente
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;Marco Geovanne Tobias da Silva;Diretor de Relações com Investidores
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Cristiane Maria Lima Bukowitz;Diretor Presidente
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;Dario Oswaldo Garcia Junior;Diretor de Relações com Investidores
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ivan de Souza Monteiro;Diretor Presidente
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eduardo Haiama;Diretor de Relações com Investidores
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Edison Antônio Costa Britto Garcia;Diretor Presidente
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Brás Kleyber Borges Teodoro;Diretor de Relações com Investidores
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Júlio César da Costa;Diretor Presidente
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Marcus Erich Thieme;Diretor de Relações com Investidores
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Bruno Stefani Rocha;Diretor Presidente/Relações com Investidores
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Rogério Pereira Jorge;Diretor Presidente/Relações com Investidores
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Fernando Pereira Aragão;Diretor Presidente
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Cássio Lucato Castardelli;Diretor de Relações com Investidores
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;BRUNO AUGUSTO SACCHI ZAREMBA;Diretor Presidente
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;JOSÉ GUILHERME CRUZ SOUZA;Diretor de Relações com Investidores
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Frederico de Siqueira Filho;Diretor Presidente
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Tatiana Rúbia Melo Miranda;Diretor de Relações com Investidores
00.357.038/0001-16;2024-12-31;5;142109;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;Eduardo Haiama;Diretor de Relações com Investidores
